step	time	T	Ekin	res	lj	bond_43	bond_128	bond_140_cross	bond_126	bond_131	bond_26	bond_136	bond_134	bond_143_cross	bond_138_cross	bond_124	bond_129	bond_127	bond_18_cross	bond_137_cross	bond_141_cross	bond_135	bond_2	bond_136_cross	bond_102	bond_125	bond_144_cross	bond_130	bond_142_cross	bond_139_cross	bond_146_cross	bond_133	bond_132	bond_145_cross
0	0	0	0	0	1008.84	0	4.94066e-324	0	2.69266e-321	0	0	2.51977e-310	6.92536e-310	131.488	45509.2	2.69266e-321	0	9.17107e-72	0	2107.73	135.084	2.51977e-310	2.27749e-319	0	0	0	0	2.83717e-319	112.345	0	0	0	0	0
1	0.001	0.0705896	685.496	0	1003.05	97.7601	0.237588	0	103.457	53.4554	1.3578	34.6964	3.60613	131.465	45466.7	391.715	1001.23	0.113653	0	2106.05	135.132	17.9336	25406.1	0	219.474	4.11054	0	135.497	112.124	0	0	85.0115	26.9432	0
2	0.002	0.472086	4584.43	0	988.593	79.7937	0.0970811	0	91.1711	45.4183	1.53086	26.2894	3.75105	131.28	45341.1	337.766	827.212	0.138084	0	2101.27	135.145	13.6735	21811.1	0	9.93758	5.04163	0	47.3212	111.597	0	0	25.4422	23.7841	0
3	0.003	1.09533	10636.7	0	967.444	56.265	0.116101	0	72.8468	34.9636	2.56894	16.0084	4.19523	130.885	45133.2	258.175	602.059	0.158114	0	2093.41	135.202	8.20816	16740.2	0	112.182	7.74619	0	29.8975	110.83	0	0	24.5771	20.2541	0
4	0.004	1.79713	17451.9	0	938.983	36.1561	0.257533	0	51.8079	25.4286	3.53671	7.40174	4.95343	130.374	44843.3	170.032	399.38	0.146578	0	2082.66	135.252	3.59454	11157.7	0	352.493	11.8869	0	114.739	109.778	0	0	97.181	17.8865	0
5	0.005	2.4865	24146.4	0	905.365	25.2086	0.250908	0	32.1313	20.0038	4.08233	2.21364	5.88358	129.726	44475.9	89.7915	298.187	0.228741	0	2068.56	135.341	0.966038	6009.71	0	315.898	16.2607	0	218.033	108.494	0	0	166.269	16.8419	0
6	0.006	3.1101	30202.2	0	867.96	25.0463	0.12364	0	16.1617	20.0811	3.47031	0.646987	6.93882	128.995	44030.6	31.0382	350.281	0.279187	0	2051.27	135.534	0.516759	2121.63	0	67.7106	19.6957	0	232.505	106.967	0	0	153.161	16.969	0
7	0.007	3.5413	34389.6	0	828.929	34.0444	0.164267	0	7.01183	25.1146	3.84928	1.80335	8.16543	128.174	43511.3	4.70385	576.312	0.281375	0	2031.13	135.79	2.10324	187.22	0	37.0086	20.936	0	150.016	105.231	0	0	80.4337	18.2692	0
8	0.008	3.66318	35573.1	0	787.295	48.6822	0.285352	0	6.43969	33.9889	6.2548	4.46663	9.80029	127.184	42918.3	15.6254	957.709	0.152659	0	2008.12	136.198	5.03436	601.078	0	283.743	20.5507	0	68.4755	103.104	0	0	39.71	19.8977	0
9	0.009	3.47	33697.2	0	746.808	63.9656	0.372744	0	14.3021	43.9127	8.44035	8.02277	12.0283	126.133	42256.7	61.0881	1432.74	0.368586	0	1982.35	136.687	8.76415	3248.98	0	392.463	22.3572	0	81.5451	100.979	0	0	84.6368	21.9112	0
10	0.01	3.05343	29651.9	0	706.955	76.6456	0.293308	0	29.382	52.877	9.22048	11.8707	14.5038	124.793	41529	131.484	1900.25	0.649326	0	1954.33	137.386	12.7297	7433.45	0	184.078	26.6556	0	184.141	98.7148	0	0	160.504	24.6699	0
11	0.011	2.5521	24783.5	0	669.021	85.1845	0.209054	0	48.7037	58.8187	8.18072	15.8928	16.9547	123.331	40740.8	213.247	2238.92	0.497543	0	1923.94	138.345	15.9433	12132.8	0	9.44095	30.1174	0	274.493	96.3831	0	0	178.444	28.3069	0
